Name,Description,Designator,Footprint,LCSC Part #,Quantity,Manufacturer 1,Supplier 1,Supplier Part Number 1,LCSC,LCSC Part Number
4.7uF,4.7uF 0402,"C1, C2, C3, C4, C5, C6",CAPC0402(1005)_N,,6,Murata,Digikey,490-5915-1-ND,,
WS2812C-2020,Neopixel,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED30",WS2812C-2020,,30,,,,,
